,Unnamed: 0,avgHigh,avgLow,date,index,max,min,recHigh,recLow
189,189,82.0,67.0,8-Jul,189,88.0,77.0,95.0,57.0
190,190,82.0,68.0,9-Jul,190,79.0,68.0,97.0,54.0
191,191,82.0,68.0,10-Jul,191,84.0,72.0,94.0,50.0
192,192,82.0,68.0,11-Jul,192,88.0,69.0,94.0,59.0
193,193,83.0,68.0,12-Jul,193,89.0,72.0,96.0,55.0
194,194,83.0,68.0,13-Jul,194,88.0,73.0,97.0,57.0
195,195,83.0,68.0,14-Jul,195,82.0,73.0,98.0,61.0
196,196,83.0,68.0,15-Jul,196,81.0,72.0,98.0,58.0
197,197,83.0,68.0,16-Jul,197,80.0,64.0,97.0,59.0
198,198,83.0,68.0,17-Jul,198,81.0,67.0,97.0,58.0
199,199,83.0,68.0,18-Jul,199,85.0,71.0,95.0,61.0
200,200,83.0,68.0,19-Jul,200,93.0,78.0,96.0,60.0
201,201,83.0,69.0,20-Jul,201,94.0,82.0,97.0,57.0
202,202,83.0,69.0,21-Jul,202,89.0,74.0,97.0,58.0
203,203,83.0,69.0,22-Jul,203,85.0,69.0,100.0,57.0
204,204,83.0,69.0,23-Jul,204,86.0,68.0,97.0,62.0
205,205,83.0,69.0,24-Jul,205,87.0,70.0,92.0,58.0
206,206,83.0,69.0,25-Jul,206,88.0,69.0,95.0,57.0
207,207,83.0,69.0,26-Jul,207,90.0,74.0,96.0,60.0
208,208,83.0,69.0,27-Jul,208,86.0,71.0,96.0,55.0
209,209,83.0,69.0,28-Jul,209,95.0,75.0,95.0,59.0
210,210,83.0,69.0,29-Jul,210,96.0,78.0,96.0,60.0
211,211,83.0,68.0,30-Jul,211,87.0,76.0,96.0,60.0
212,212,83.0,68.0,31-Jul,212,89.0,72.0,98.0,57.0
213,213,83.0,68.0,1-Aug,213,89.0,75.0,99.0,59.0
214,214,83.0,68.0,2-Aug,214,89.0,71.0,100.0,59.0
215,215,83.0,68.0,3-Aug,215,90.0,75.0,97.0,54.0
216,216,83.0,68.0,4-Aug,216,89.0,69.0,94.0,57.0
217,217,83.0,68.0,5-Aug,217,87.0,72.0,96.0,56.0
218,218,82.0,68.0,6-Aug,218,83.0,67.0,92.0,54.0
219,219,82.0,68.0,7-Aug,219,84.0,69.0,92.0,57.0
220,220,82.0,68.0,8-Aug,220,82.0,68.0,91.0,54.0
221,221,82.0,68.0,9-Aug,221,85.0,68.0,98.0,55.0
222,222,82.0,68.0,10-Aug,222,84.0,70.0,95.0,56.0
